URI,RMM_Tool
everywhere.laplink.com,Laplink Everywhere
le.laplink.com,Laplink Everywhere
atled.syspectr.com,Laplink Everywhere
bluetrait.io,Bluetrait
*.bluetrait.io,Bluetrait
dameware.com,DameWare
level.io,Level
builds.level.io,Level
agents.level.io,Level
online.level.io,Level
downloads.io,Level
*mygreenpc.com,MyGreenPC
*.ninjarmm.com,NinjaRMM
*.ninjaone.com,NinjaRMM
resources.ninjarmm.com,NinjaRMM
ninjaone.com,NinjaRMM
ninjarmm.net,NinjaRMM
*.ninjarmm.net,NinjaRMM
rmmservice.eu,NinjaRMM
*.rmmservice.eu,NinjaRMM
rmmservice.eu,NinjaRMM
*.rmmservice.eu,NinjaRMM
rmmservice.com.au,NinjaRMM
*.rmmservice.com.au,NinjaRMM
rmmservice.ca,NinjaRMM
*.rmmservice.ca,NinjaRMM
ninja-backup.com,NinjaRMM
*.ninja-backup.com,NinjaRMM
learn.microsoft.com/en-us/azure/developer/dev-tunnels/overview,Dev Tunnels (aka Visual Studio Dev Tunnel)
*.kabuto.io,Kabuto
repairtechsolutions.com/kabuto/,Kabuto
ivanti.com/,RES Automation Manager
*.domotz.co,Domotz
domotz.com,Domotz
*cell-1.domotz.com,Domotz
app.pdq.com,PDQ Connect
cfcdn.pdq.com,PDQ Connect
pdqinstallers.*.r2.cloudflarestorage.com,PDQ Connect
zabbix.com,Zabbix Agent
*.tailscale.com,Tailscale
*.tailscale.io,Tailscale
tailscale.com,Tailscale
*soti.net,Pocket Controller (Soti Xsight)
*.netsupportmanager.com,NetSupport Manager
netsupportmanager.com,NetSupport Manager
*.pcvisit.de,Pcvisit
pcvisit.de,Pcvisit
*.distantdesktop.com,Distant Desktop
*signalserver.xyz,Distant Desktop
level.io,Level.io
*.level.io,Level.io
cloudflare.com/products/tunnel/,CloudFlare Tunnel
*.beinsync.net,BeInSync
*.beinsync.com,BeInSync
boot.net.anydesk.com,AnyDesk
relay-[a-f0-9]{8}.net.anydesk.com:443,AnyDesk
*.anydesk.com,AnyDesk
*.immy.bot,ImmyBot
immy.bot,ImmyBot
soti.net/products/soti-pocket-controller,Pocket Controller
*.islonline.com,ISL Online
*.islonline.net,ISL Online
goverlan.com,Goverlan
*.GoToMyPC.com,GoToMyPC
basecamp.com,Basecamp
imperosoftware.com/impero-connect/,Netop Remote Control (aka Impero Connect)
netbird.io,NetBird
*.netbird.io,NetBird
api.netbird.io,NetBird
signal.netbird.io,NetBird
seetrol.co.kr,Seetrol
download.cnet.com/Net-Viewer/3000-2370_4-10034828.html,Netviewer
*.internetid.ru,Remote Utilities
acceo.com/turbomeeting/,TurboMeeting
n-able.com,N-ABLE Remote Access Software
*.fastviewer.com,FastViewer
fastviewer.com,FastViewer
nomachine.com,NoMachine
*.sorillus.com,Sorillus
sorillus.com,Sorillus
asapi*.aweray.net,AweRay
client-api.aweray.com,AweRay
cloud.acronis.com,Acronis Cyber Protect (Remotix)
agents*-cloud.acronis.com,Acronis Cyber Protect (Remotix)
gw.remotix.com,Acronis Cyber Protect (Remotix)
connect.acronis.com,Acronis Cyber Protect (Remotix)
*.optitune.us,OptiTune
*.opti-tune.com,OptiTune
*.weezo.me,Weezo
weezo.net,Weezo
*.weezo.net,Weezo
weezo.en.softonic.com,Weezo
*.sophos.com,Sophos-Remote Management System
*.sophosupd.com,Sophos-Remote Management System
*.sophosupd.net,Sophos-Remote Management System
community.sophos.com/on-premise-endpoint/f/sophos-endpoint-software/5725/sophos-remote-management-system,Sophos-Remote Management System
github.com/Mikej81/WebRDP,WebRDP
*.remotecall.com,RemoteCall
*.startsupport.com,RemoteCall
remotecall.com,RemoteCall
*.adobeconnect.com,Adobe Connect
*remotedesktop.google.com,Chrome Remote Desktop
*remotedesktop-pa.googleapis.com,Chrome Remote Desktop
remotedesktop.google.com,Chrome Remote Desktop
chromoting-client.talkgadget.google.com,Chrome Remote Desktop
chromoting-host.talkgadget.google.com,Chrome Remote Desktop
chromoting-oauth.talkgadget.google.com,Chrome Remote Desktop
*.kace.com,Quest KACE Agent (formerly Dell KACE)
www.quest.com/kace/,Quest KACE Agent (formerly Dell KACE)
*.support.services.microsoft.com,Microsoft Quick Assist
guacamole.apache.org,Guacamole
*.mdt.qq.com,QQ IM-remote assistance
*.desktop.qq.com,QQ IM-remote assistance
upload_data.qq.com,QQ IM-remote assistance
qq-messenger.en.softonic.com,QQ IM-remote assistance
*.heartbeatrm.com,HeartbeatRM
heartbeatrm.com,HeartbeatRM
todesk.com,ToDesk
*.todesk.com,ToDesk
*.todesk.com,ToDesk
todesktop.com,ToDesk
*.itsupport247.net,ITSupport247 (ConnectWise)
itsupport247.net,ITSupport247 (ConnectWise)
*.api.jumpcloud.com,Jump Cloud
*.assist.jumpcloud.com,Jump Cloud
neturo.uplus.co.kr,Neturo
geo.netsupportsoftware.com,NetSupport Manager
netsupportmanager.com,NetSupport Manager
*.netsupportmanager.com,NetSupport Manager
*.hostedrmm.com,Connectwise Automate (LabTech)
tanium.com/products/tanium-deploy,Tanium Deploy
*.spytech-web.com,SpyAnywhere
spyanywhere.com,SpyAnywhere
myivo-server.software.informer.com,MyIVO
royalapps.com,Royal TS
*.ivanticloud.com,Ivanti Remote Control
radmin.com,RAdmin
*.zoho.com.au,Zoho Assist
*.zohoassist.jp,Zoho Assist
assist.zoho.com,Zoho Assist
zoho.com/assist/,Zoho Assist
*.zoho.in,Zoho Assist
downloads.zohodl.com.cn,Zoho Assist
*.zohoassist.com,Zoho Assist
downloads.zohocdn.com,Zoho Assist
gateway.zohoassist.com,Zoho Assist
*.zohoassist.com.cn,Zoho Assist
*.zoho.com.cn,Zoho Assist
*.zoho.com,Zoho Assist
*.zoho.eu,Zoho Assist
auth*.aeroadmin.com,AeroAdmin
aeroadmin.com,AeroAdmin
*.itsupport247.net,ITSupport247 (ConnectWise)
*.01com.com,I'm InTouch
01com.com/imintouch-remote-pc-desktop,I'm InTouch
https://github.com/dchapyshev/aspia,Aspia
meshcentral.com,MeshCentral
*.xeox.com,Xeox
xeox.com,Xeox
login.tailscale.com,Tactical RMM
login.tailscale.com,Tactical RMM
docs.tacticalrmm.com,Tactical RMM
remobo.en.softonic.com,Remobo
*.beanywhere.com ,N-Able Advanced Monitoring Agent
systemmonitor.co.uk,N-Able Advanced Monitoring Agent
*system-monitor.com,N-Able Advanced Monitoring Agent
cloudbackup.management,N-Able Advanced Monitoring Agent
*systemmonitor.co.uk,N-Able Advanced Monitoring Agent
n-able.com,N-Able Advanced Monitoring Agent
systemmonitor.us,N-Able Advanced Monitoring Agent
*systemmonitor.eu.com,N-Able Advanced Monitoring Agent
*.logicnow.com,N-Able Advanced Monitoring Agent
*.swi-tc.com,N-Able Advanced Monitoring Agent
*remote.management,N-Able Advanced Monitoring Agent
systemmonitor.us.cdn.cloudflare.net,N-Able Advanced Monitoring Agent
*cloudbackup.management,N-Able Advanced Monitoring Agent
remote.management,N-Able Advanced Monitoring Agent
logicnow.com,N-Able Advanced Monitoring Agent
system-monitor.com,N-Able Advanced Monitoring Agent
*systemmonitor.us,N-Able Advanced Monitoring Agent
systemmonitor.eu.com,N-Able Advanced Monitoring Agent
*.n-able.com,N-Able Advanced Monitoring Agent
ocsinventory-ng.org,OCS inventory
logmein-gateway.com,LogMeIn
*.logmein.com,LogMeIn
*.logmein.eu,LogMeIn
logmeinrescue.com,LogMeIn
*.logmeininc.com,LogMeIn
*.ivanticloud.com,LANDesk
*.ivanti.com,LANDesk
ivanti.com,LANDesk
*.ezhelp.co.kr,ezHelp
ezhelp.co.kr,ezHelp
global.rel.tunnels.api.visualstudio.com,Visual Studio Dev Tunnel
*.rel.tunnels.api.visualstudio.com,Visual Studio Dev Tunnel
*.devtunnels.ms,Visual Studio Dev Tunnel
electric.ai,Electric AI (Kaseya)
manageengine.com/remote-monitoring-management/,ManageEngine RMM Central
imperosoftware.com,Impero Connect
*.internetid.ru,Remote Manipulator System
rmansys.ru,Remote Manipulator System
*.remotedesktop.com,RemotePC
*.remotepc.com,RemotePC
www.remotepc.com,RemotePC
remotepc.com,RemotePC
*.my.auvik.com,Auvik
*.auvik.com,Auvik
auvik.com,Auvik
tmate.io,tmate
*.tmate.io,tmate
ultravnc.com,UltraVNC
rustdesk.com,RustDesk
web.rustdesk.com,RustDesk
api.rustdesk.com,RustDesk
rs-ny.rustdesk.com,RustDesk
*.anyviewer.com,AnyViewer
*.aomeisoftware.com,AnyViewer
skyfex.com,SkyFex
deskroll.com,SkyFex
*.deskroll.com,SkyFex
splashtop.com,Splashtop Remote
*.api.splashtop.com,Splashtop Remote
*.relay.splashtop.com,Splashtop Remote
*.api.splashtop.eu,Splashtop Remote
desktopcentral.manageengine.com,Manage Engine (Desktop Central)
desktopcentral.manageengine.com.eu,Manage Engine (Desktop Central)
desktopcentral.manageengine.cn,Manage Engine (Desktop Central)
*.dms.zoho.com,Manage Engine (Desktop Central)
*.dms.zoho.com.eu,Manage Engine (Desktop Central)
*.-dms.zoho.com.cn,Manage Engine (Desktop Central)
*.247ithelp.com,247ithelp.com (ConnectWise)
idrive.com,iDrive
*.idrive.com,iDrive
api.idrive.com,iDrive
*.senso.cloud,Senso.cloud
senso.cloud,Senso.cloud
*.cloudberrylab.com,MSP360
*.msp360.com,MSP360
*.mspbackups.com,MSP360
